Wall time,Step,Value
1649660577.1657565,1,0.25950881838798523
1649660577.7092907,9,0.20971909165382385
1649660578.2963507,17,0.17884570360183716
1649660578.877019,25,0.14508295059204102
1649660579.4558911,33,0.12362970411777496
1649660579.9998152,41,0.11027437448501587
1649660580.6150517,49,0.11511211842298508
1649660581.168326,57,0.09252031147480011
1649660614.7581077,64,0.022315286099910736
1649660615.0753088,72,0.023761745542287827
1649660615.4089751,80,0.013369699940085411
1649660615.7391698,88,0.016643453389406204
1649660616.07094,96,0.015691455453634262
1649660616.3998024,104,0.03405645489692688
1649660616.7487426,112,0.04198016971349716
1649660617.0904143,120,0.032458849251270294
1649660636.8910182,127,0.02683759294450283
1649660637.2128744,135,0.02094164490699768
1649660637.5489707,143,0.009539616294205189
1649660637.8876605,151,0.012014737352728844
1649660638.225394,159,0.011239743791520596
1649660638.556268,167,0.030716117471456528
1649660638.9320488,175,0.03156072646379471
1649660639.2803738,183,0.03512578085064888
1649660659.4696023,190,0.01010778360068798
1649660659.8020685,198,0.01922878623008728
1649660660.144136,206,0.007362252101302147
1649660660.4872978,214,0.008919908665120602
1649660660.8364284,222,0.008251613937318325
1649660661.178238,230,0.023603761568665504
1649660661.5361738,238,0.02367405593395233
1649660661.876852,246,0.020885519683361053
1649660682.1396635,253,0.010227667167782784
1649660682.4640796,261,0.018535416573286057
1649660682.814792,269,0.006194336339831352
1649660683.1603355,277,0.007963817566633224
1649660683.5040407,285,0.007116920780390501
1649660683.844606,293,0.021720057353377342
1649660684.2020204,301,0.02255569025874138
1649660684.5465817,309,0.014892179518938065
1649660704.882314,316,0.00867174006998539
1649660705.2040384,324,0.016551567241549492
1649660705.5444357,332,0.006156177259981632
1649660705.8863118,340,0.007683540228754282
1649660706.2273886,348,0.006271366495639086
1649660706.5673134,356,0.020509818568825722
1649660706.9247816,364,0.02712274342775345
1649660707.264416,372,0.013571538031101227
1649660727.4256046,379,0.007875137031078339
1649660727.7388356,387,0.017118409276008606
1649660728.06805,395,0.005136275663971901
1649660728.3995614,403,0.006910329684615135
1649660728.7313814,411,0.005540619604289532
1649660729.0594575,419,0.020228181034326553
1649660729.4090073,427,0.01926349103450775
1649660729.7401369,435,0.015132797881960869
1649660749.5337656,442,0.008053062483668327
1649660749.8501542,450,0.015841001644730568
1649660750.1913385,458,0.005036208778619766
1649660750.5312765,466,0.006746512837707996
1649660750.8654826,474,0.005324936006218195
1649660751.196933,482,0.020040303468704224
1649660751.549389,490,0.019484801217913628
1649660751.8813877,498,0.012964262627065182
1649660771.6986558,505,0.008299287408590317
1649660772.0142295,513,0.015431651845574379
1649660772.346248,521,0.004873618483543396
1649660772.6759155,529,0.006478485185652971
1649660773.0110755,537,0.004883325658738613
1649660773.3437855,545,0.019103195518255234
1649660773.6917703,553,0.017320573329925537
1649660774.025547,561,0.012649642303586006
1649660793.820012,568,0.006518327631056309
1649660794.1380458,576,0.015656184405088425
1649660794.473028,584,0.004766413010656834
1649660794.8010864,592,0.006458262912929058
1649660795.1349397,600,0.004666786175221205
1649660795.4645443,608,0.018278494477272034
1649660795.812069,616,0.02307310700416565
1649660796.1429002,624,0.01174694113433361
1649660796.4730723,632,0.005733813159167767
1649660796.8077614,640,0.007943243719637394
1649660797.120973,648,0.011187671683728695
1649660797.4381316,656,0.015925325453281403
1649660797.7523983,664,0.030128173530101776
1649660798.085304,672,0.02016652375459671
1649660798.4219518,680,0.014264216646552086
1649660798.7754853,688,0.01574479602277279
1649660799.0899966,696,0.019231868907809258
1649660799.409042,704,0.00801596324890852
1649660799.723082,712,0.015834061428904533
1649660800.0985687,720,0.006171896122395992
1649660800.430917,728,0.017219476401805878
1649660800.7803264,736,0.032459791749715805
1649660801.1011999,744,0.010125862434506416
1649660801.474623,752,0.010820411145687103
1649660801.8285449,760,0.013728223741054535
1649660802.1599467,768,0.012947708368301392
1649660802.4988196,776,0.01579456217586994
1649660802.8318658,784,0.015045910142362118
1649660803.1537085,792,0.009494651108980179
1649660803.5063674,800,0.01135961338877678
1649660803.8582318,808,0.009163371287286282
1649660814.7124164,816,0.017310552299022675
