Wall time,Step,Value
1649837675.2518806,0,0.2520654499530792
1649837675.8595161,1,0.18349769711494446
1649837676.4272277,2,0.16097915172576904
1649837676.976056,3,0.13345098495483398
1649837677.5596094,4,0.1153864711523056
1649837678.1213877,5,0.10491988062858582
1649837678.6573493,6,0.09421199560165405
1649837679.178956,7,0.0948433205485344
1649837679.805183,8,0.08707810938358307
1649837680.3450842,9,0.08195842802524567
